source_id,x_m,y_m,z_m,distance_to_detector_m,distance_offset_m,propagation_compensation_s,theta_src,phi_src,theta_rot,phi_rot,gw_phase_offset_rad,rotor_phase_offset_rad
0,-11.25,-15.0,-15.0,3984.931941382428,-15.068058617572206,-5.0260368971221496e-08,0.00813754707530167,5.802288517200219,1.7232927898342283,0.01417408462825066,-0.0001894771271120422,-9.47385635560211e-05
1,-3.75,-15.0,-15.0,3984.993107578729,-15.006892421271004,-5.005634563465979e-08,0.009844660627809854,5.890838665432604,1.7234293588156842,0.014184812769187621,-0.00018870797725367843,-9.435398862683922e-05
2,3.75,-15.0,-15.0,3985.068388051832,-14.93161194816821,-4.9805243322775884e-08,0.01160592571188102,5.952883277364747,1.7235028969289719,0.014173105348135904,-0.00018776134383970177,-9.388067191985088e-05
3,11.25,-15.0,-15.0,3985.1577820018715,-14.84221799812849,-4.950706470356401e-08,0.013399966726308533,5.998451361783075,1.723151951117243,0.01409461126250867,-0.00018663723692821348,-9.331861846410674e-05
4,-11.25,-7.5,-15.0,3984.91076781525,-15.089232184750017,-5.033099461224155e-08,0.0074560743667260055,6.027997252747307,1.7232903972450186,0.014145212140097917,-0.0001897433795060226,-9.48716897530113e-05
5,-3.75,-7.5,-15.0,3984.9719343365487,-15.028065663451343,-5.012697019163223e-08,0.00928930300899053,6.079163678738195,1.7235959598412771,0.014195175341371612,-0.00018897422556089563,-9.448711278044781e-05
6,3.75,-7.5,-15.0,3985.0472152096295,-14.952784790370515,-4.987586654559878e-08,0.011138754617850003,6.1134044955178535,1.723417356317867,0.014170928662281822,-0.00018802758711729367,-9.401379355864684e-05
7,11.25,-7.5,-15.0,3985.136609634615,-14.86339036538493,-4.9577686342177886e-08,0.01299746462479285,6.137873432813684,1.723394488432496,0.014175900250406367,-0.00018690347423347807,-9.345173711673904e-05
8,-11.25,0.0,-15.0,3984.9037099345232,-15.096290065476751,-5.0354536575973154e-08,0.007214624200537004,0.0,1.7298154908693186,0.01434257376967495,-0.00018983213061839495,-9.491606530919747e-05
9,-3.75,0.0,-15.0,3984.9648765641555,-15.035123435844525,-5.015051179401109e-08,0.009096650634904955,0.0,1.7298358741556186,0.01434802268059139,-0.00018906297531100022,-9.453148765550011e-05
10,3.75,0.0,-15.0,3985.0401575705637,-14.959842429436321,-4.989940770325657e-08,0.010978612628687299,0.0,1.7298338204955215,0.014349229764298834,-0.00018811633519083933,-9.405816759541967e-05
11,11.25,0.0,-15.0,3985.1295521538664,-14.87044784613363,-4.960122697175994e-08,0.01286049685496915,0.0,1.7298330454897568,0.014349618033500652,-0.00018699222031622512,-9.349611015811256e-05
12,-11.25,7.5,-15.0,3984.91076781525,-15.089232184750017,-5.033099461224155e-08,0.0074560743667260055,0.2551880544322799,1.72961473690286,0.014305603456997731,-0.0001897433795060226,-9.48716897530113e-05
13,-3.75,7.5,-15.0,3984.9719343365487,-15.028065663451343,-5.012697019163223e-08,0.00928930300899053,0.20402162844139154,1.7298411492320256,0.014349372540451181,-0.00018897422556089563,-9.448711278044781e-05
14,3.75,7.5,-15.0,3985.0472152096295,-14.952784790370515,-4.987586654559878e-08,0.011138754617850003,0.16978081166173262,1.7296567286129043,0.014288276993549327,-0.00018802758711729367,-9.401379355864684e-05
15,11.25,7.5,-15.0,3985.136609634615,-14.86339036538493,-4.9577686342177886e-08,0.01299746462479285,0.14531187436590212,1.7295313487056048,0.014301519344623896,-0.00018690347423347807,-9.345173711673904e-05
16,-11.25,15.0,-15.0,3984.931941382428,-15.068058617572206,-5.0260368971221496e-08,0.00813754707530167,0.4808967899793665,1.729682259575183,0.014370826947145096,-0.0001894771271120422,-9.47385635560211e-05
