source_id,x_m,y_m,z_m,distance_to_detector_m,distance_offset_m,propagation_compensation_s,theta_src,phi_src,theta_rot,phi_rot,gw_phase_offset_rad,rotor_phase_offset_rad
0,-11.25,-15.0,-15.0,3984.1481193699515,-15.851880630048527,-5.2874852001496086e-08,0.20160941507361513,5.941164686299197,1.7213351093193197,0.01405803251936115,-0.00177092753241892,-0.00088546376620946
1,-3.75,-15.0,-15.0,3985.569784293893,-14.430215706106992,-4.8132807558729123e-08,0.20334726863959934,5.944289918114158,1.7231787217421497,0.014186639739353425,-0.001753050446037463,-0.0008765252230187315
2,3.75,-15.0,-15.0,3987.005050645637,-12.994949354363143,-4.3345394777728965e-08,0.20508577440407622,5.947360698754567,1.7250210097871617,0.014315239998838065,-0.0017350023250508606,-0.0008675011625254303
3,11.25,-15.0,-15.0,3988.4539037415443,-11.546096258455691,-3.8512662636610045e-08,0.20682486997720637,5.950378382562652,1.72686196229726,0.01444383327271515,-0.0017167833541011923,-0.0008583916770505962
4,-11.25,-7.5,-15.0,3983.6514407766613,-16.348559223338725,-5.453155177898174e-08,0.20099848391695446,5.9500486824404994,1.721360990970425,0.0141351576833323,-0.0017771731434392812,-0.0008885865717196406
5,-3.75,-7.5,-15.0,3985.0732828894525,-14.926717110547543,-4.9788916312700275e-08,0.20274215200200035,5.953105153930379,1.7232049398263407,0.014262025698802933,-0.0017592938289516802,-0.0008796469144758401
6,3.75,-7.5,-15.0,3986.5087279970508,-13.491272002949245,-4.5000907281351715e-08,0.20448637993403912,5.956108047808115,1.7250475637160705,0.014388888276096336,-0.0017412434601538074,-0.0008706217300769037
7,11.25,-7.5,-15.0,3987.9577614104705,-12.042238589529461,-4.016757368088546e-08,0.20623110740678463,5.959058707835463,1.7268888514783944,0.014515745397508484,-0.001723022221756132,-0.000861511110878066
8,-11.25,0.0,-15.0,3983.168822197324,-16.83117780267594,-5.6141353577971776e-08,0.20040294052280372,5.958987636646705,1.7213870244693399,0.014212253354156558,-0.001783241953245529,-0.0008916209766227645
9,-3.75,0.0,-15.0,3984.590836525397,-15.409163474602792,-5.1398143677794504e-08,0.20215230878248705,5.961973959964859,1.723231303298513,0.014337380872887537,-0.0017653604731933115,-0.0008826802365966557
10,3.75,0.0,-15.0,3986.0264553712527,-13.973544628747277,-4.660955513257931e-08,0.20390214545791188,5.964907623596582,1.7257670684280777,0.014473270484117418,0.0011419344348122529,0.0005709672174061264
11,11.25,0.0,-15.0,3987.475664040705,-12.524335959295058,-4.1775636955620605e-08,0.20565239233605204,5.967789959052682,1.7276089140420203,0.014594913967390434,0.001160157877011514,0.000580078938505757
12,-11.25,7.5,-15.0,3982.7002687432637,-17.299731256736322,-5.7704240349353977e-08,0.19982293935271694,5.967980618818827,1.7221053720436073,0.014309233469356324,0.0011001084569270958,0.0005500542284635479
13,-3.75,7.5,-15.0,3984.1224503075973,-15.877549692402681,-5.2960472623091e-08,0.20157788976130864,5.970895418275396,1.7239501969607605,0.014429140380433933,0.0011179920399340126,0.0005589960199670063
14,3.75,7.5,-15.0,3985.5582378686127,-14.44176213138735,-4.817132131883706e-08,0.2033332181853199,5.973758520433494,1.7257936957972961,0.014549045657048305,0.0011360467149992282,0.0005680233574996141
15,11.25,7.5,-15.0,3987.007616727075,-12.992383272925053,-4.3336835466727995e-08,0.20508886851085256,5.9765712428537885,1.7276358573851451,0.014668949278627203,0.0011542722972834873,0.0005771361486417437
16,-11.25,15.0,-15.0,3982.245785379214,-17.754214620786115,-5.92201955329757e-08,0.1992586325735791,5.977026652633407,1.7221315277687954,0.014388463058799995,0.0010943934405251987,0.0005471967202625994
17,-3.75,15.0,-15.0,3983.6681291954856,-16.331870804514438,-5.447588660611887e-08,0.20101904343947738,5.979868566470259,1.723976663286434,0.014506625827133104,0.0011122790638107283,0.0005561395319053641
18,3.75,15.0,-15.0,3985.104080443221,-14.895919556779063,-4.968618931547386e-08,0.20277974306329097,5.982659789881473,1.725820472180757,0.01462478848943886,0.0011303357971961248,0.0005651678985980624
19,11.25,15.0,-15.0,3986.553624418284,-13.446375581715984,-4.4851152707524964e-08,0.20454067743214324,5.985401624753126,1.7276629432799107,0.014742951032530456,0.0011485634557808488,0.0005742817278904244
20,-11.25,-15.0,-7.5,3991.4964936685965,-8.503506331403514,-2.8363930391606118e-08,0.20123315316574036,5.941164686299197,1.7205627055271384,0.013864797392545702,-0.001609146967354036,-0.000804573483677018
21,-3.75,-15.0,-7.5,3992.915542228016,-7.0844577719840345,-2.3630612981934737e-08,0.20296794288026607,5.944289918114158,1.7224030721314452,0.013992864716676436,-0.0015913027811125247,-0.0007956513905562623
